Product Name,Division,Factory,Sales,Cost,Units,Gross Profit,Gross Margin %,Profit per Unit,Revenue Contribution %,Profit Contribution %,Margin Risk,Diagnostic
Wonka Bar -Scrumdiddlyumptious,Chocolate,Lot's O' Nuts,27874.8,8517.3,7743,19357.5,69.44444444444444,2.5,19.66009757261822,20.715881801487114,High profit / high margin,Healthy margin
Wonka Bar - Triple Dazzle Caramel,Chocolate,Wicked Choccy's,28485.0,9874.8,7596,18610.2,65.33333333333333,2.45,20.09047165741207,19.916141211521918,High profit / high margin,Healthy margin
Wonka Bar - Milk Chocolate,Chocolate,Wicked Choccy's,26867.75,9424.38,8267,17443.37,64.92307692307692,2.11,18.949825166699426,18.66743077048205,High profit / high margin,Healthy margin
Wonka Bar - Nutty Crunch Surprise,Chocolate,Lot's O' Nuts,23574.95,6755.0,6755,16819.95,71.34670487106017,2.49,16.627413192905273,18.000263262659082,High profit / high margin,Healthy margin
Wonka Bar - Fudge Mallows,Chocolate,Lot's O' Nuts,24890.4,8296.8,6914,16593.6,66.66666666666666,2.4,17.555200131355083,17.75802951110198,High profit / high margin,Healthy margin
Lickable Wallpaper,Other,Secret Factory,7860.0,3930.0,393,3930.0,50.0,10.0,5.543658319370156,4.205781504835044,High sales / low margin,Review pricing/cost
Wonka Gum,Other,Secret Factory,597.5,286.8,478,310.7,52.0,0.65,0.4214167742778203,0.33250287876647533,High sales / low margin,Review pricing/cost
Everlasting Gobstopper,Sugar,Secret Factory,130.0,26.0,13,104.0,80.0,8.0,0.09168900528220358,0.11129803473354824,High profit / high margin,Healthy margin
Kazookles,Other,The Other Factory,1205.75,1113.0,371,92.75,7.6923076923076925,0.25,0.8504155239924384,0.09925858386092884,High sales / low margin,Review pricing/cost
Hair Toffee,Sugar,The Other Factory,76.5,17.0,17,59.5,77.77777777777779,3.5,0.05395545310837365,0.06367531794852038,Low sales / low profit,Healthy margin
Fizzy Lifting Drinks,Sugar,Sugar Shack,78.75,31.5,21,47.25,60.0,2.25,0.05554237819979641,0.050565693665001486,Low sales / low profit,Review pricing/cost
Laffy Taffy,Sugar,Sugar Shack,53.73,20.25,27,33.480000000000004,62.31155778894474,1.2400000000000002,0.03789577118317537,0.03582940579691534,Low sales / low profit,Healthy margin
SweeTARTS,Sugar,Sugar Shack,61.5,32.8,41,28.7,46.666666666666664,0.7,0.04337595249888862,0.030713976892815714,Low sales / low profit,Review pricing/cost
Nerds,Sugar,Sugar Shack,15.0,8.0,10,7.0,46.666666666666664,0.7,0.010579500609485029,0.007491213876296516,Low sales / low profit,Review pricing/cost
Fun Dip,Sugar,Sugar Shack,12.0,7.2,8,4.8,40.0,0.6,0.008463600487588024,0.005136832372317611,Low sales / low profit,Review pricing/cost
